"#","Name","Type 1","Type 2","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation","Legendary"
"122","Mr. Mime","Psychic","Fairy","40","45","65","100","120","90","1","False"
"123","Scyther","Bug","Flying","70","110","80","55","80","105","1","False"
"124","Jynx","Ice","Psychic","65","50","35","115","95","95","1","False"
"127","PinsirMega Pinsir","Bug","Flying","65","155","120","65","90","105","1","False"
"130","Gyarados","Water","Flying","95","125","79","60","100","81","1","False"
"130","GyaradosMega Gyarados","Water","Dark","95","155","109","70","130","81","1","False"
"131","Lapras","Water","Ice","130","85","80","85","95","60","1","False"
"138","Omanyte","Rock","Water","35","40","100","90","55","35","1","False"
"139","Omastar","Rock","Water","70","60","125","115","70","","1","False"
"140","Kabuto","Rock","Water","30","80","90","55","45","55","1","False"
"141","Kabutops","Rock","Water","60","115","105","65","70","80","1","False"
"142","Aerodactyl","Rock","Flying","80","105","65","60","75","130","1","False"
"142","AerodactylMega Aerodactyl","Rock","Flying","80","135","85","70","95","150","1","False"
"144","Articuno","Ice","Flying","90","85","100","95","125","85","1","True"
"145","Zapdos","Electric","Flying","90","90","85","125","90","100","1","True"
"146","Moltres","Fire","Flying","90","100","90","125","85","90","1","True"
"149","Dragonite","Dragon","Flying","91","134","95","100","100","80","1","False"
"150","MewtwoMega Mewtwo X","Psychic","Fighting","106","190","100","154","100","130","1","True"
"163","Hoothoot","Normal","Flying","60","30","30","36","56","50","2","False"
"164","Noctowl","Normal","Flying","100","50","50","76","96","70","2","False"
"165","Ledyba","Bug","Flying","40","20","30","40","80","55","2","False"
"166","Ledian","Bug","Flying","55","35","50","55","110","85","2","False"
"167","Spinarak","Bug","Poison","40","60","40","40","40","30","2","False"
"168","Ariados","Bug","Poison","70","90","70","60","60","","2","False"
"169","Crobat","Poison","Flying","85","90","80","70","80","130","2","False"
"170","Chinchou","Water","Electric","75","38","38","56","56","67","2","False"
"171","Lanturn","Water","Electric","125","58","58","76","76","67","2","False"
"174","Igglybuff","Normal","Fairy","90","30","15","40","20","15","2","False"
"176","Togetic","Fairy","Flying","55","40","85","80","105","40","2","False"
"177","Natu","Psychic","Flying","40","50","45","70","45","70","2","False"
"178","Xatu","Psychic","Flying","65","75","70","95","70","95","2","False"
"181","AmpharosMega Ampharos","Electric","Dragon","90","95","105","165","110","45","2","False"
"183","Marill","Water","Fairy","70","20","50","20","50","40","2","False"
"184","Azumarill","Water","Fairy","100","50","80","60","80","50","2","False"
"187","Hoppip","Grass","Flying","35","35","40","35","55","50","2","False"
"188","Skiploom","Grass","Flying","55","45","50","45","65","","2","False"
"189","Jumpluff","Grass","Flying","75","55","70","55","95","110","2","False"
"193","Yanma","Bug","Flying","65","65","45","75","45","95","2","False"
"194","Wooper","Water","Ground","55","45","45","25","25","15","2","False"
"195","Quagsire","Water","Ground","95","85","85","65","65","35","2","False"
"198","Murkrow","Dark","Flying","60","85","42","85","42","91","2","False"
"199","Slowking","Water","Psychic","95","75","80","100","110","30","2","False"
"203","Girafarig","Normal","Psychic","70","80","65","90","65","85","2","False"
"205","Forretress","Bug","Steel","75","90","140","60","60","40","2","False"
"207","Gligar","Ground","Flying","65","75","105","35","65","85","2","False"
"208","Steelix","Steel","Ground","75","85","200","55","65","30","2","False"
"208","SteelixMega Steelix","Steel","Ground","75","125","230","55","95","30","2","False"
"211","Qwilfish","Water","Poison","65","95","75","55","55","85","2","False"
"212","Scizor","Bug","Steel","70","130","100","55","80","65","2","False"
"212","ScizorMega Scizor","Bug","Steel","70","150","140","65","100","75","2","False"
"213","Shuckle","Bug","Rock","20","10","230","10","230","","2","False"
"214","Heracross","Bug","Fighting","80","125","75","40","95","85","2","False"
"214","HeracrossMega Heracross","Bug","Fighting","80","185","115","40","105","75","2","False"
"215","Sneasel","Dark","Ice","55","95","55","35","75","115","2","False"
"219","Magcargo","Fire","Rock","50","50","120","80","80","30","2","False"
"220","Swinub","Ice","Ground","50","50","40","30","30","50","2","False"
"221","Piloswine","Ice","Ground","100","100","80","60","60","50","2","False"
"222","Corsola","Water","Rock","55","55","85","65","85","35","2","False"
"225","Delibird","Ice","Flying","45","55","45","65","45","75","2","False"
"226","Mantine","Water","Flying","65","40","70","80","140","70","2","False"
"227","Skarmory","Steel","Flying","65","80","140","40","70","70","2","False"
"228","Houndour","Dark","Fire","45","60","30","80","50","65","2","False"
"229","Houndoom","Dark","Fire","75","90","50","110","80","","2","False"
"229","HoundoomMega Houndoom","Dark","Fire","75","90","90","140","90","115","2","False"
"230","Kingdra","Water","Dragon","75","95","95","95","95","85","2","False"
"238","Smoochum","Ice","Psychic","45","30","15","85","65","65","2","False"
"246","Larvitar","Rock","Ground","50","64","50","45","50","41","2","False"
"247","Pupitar","Rock","Ground","70","84","70","65","70","51","2","False"
"248","Tyranitar","Rock","Dark","100","134","110","95","100","61","2","False"
"248","TyranitarMega Tyranitar","Rock","Dark","100","164","150","95","120","71","2","False"
"249","Lugia","Psychic","Flying","106","90","130","90","154","110","2","True"
"250","Ho-oh","Fire","Flying","106","130","90","110","154","90","2","True"
"251","Celebi","Psychic","Grass","100","100","100","100","100","","2","False"
"254","SceptileMega Sceptile","Grass","Dragon","70","110","75","145","85","145","3","False"
"256","Combusken","Fire","Fighting","60","85","60","85","60","55","3","False"
"257","Blaziken","Fire","Fighting","80","120","70","110","70","80","3","False"
"257","BlazikenMega Blaziken","Fire","Fighting","80","160","80","130","80","100","3","False"
"259","Marshtomp","Water","Ground","70","85","70","60","70","50","3","False"
"260","Swampert","Water","Ground","100","110","90","85","90","60","3","False"
"260","SwampertMega Swampert","Water","Ground","100","150","110","95","110","70","3","False"
"267","Beautifly","Bug","Flying","60","70","50","100","50","65","3","False"
"269","Dustox","Bug","Poison","60","50","70","50","90","65","3","False"
"270","Lotad","Water","Grass","40","30","30","40","50","30","3","False"
"271","Lombre","Water","Grass","60","50","50","60","70","50","3","False"
"272","Ludicolo","Water","Grass","80","70","70","90","100","70","3","False"
"274","Nuzleaf","Grass","Dark","70","70","40","60","40","60","3","False"
"275","Shiftry","Grass","Dark","90","100","60","90","60","80","3","False"
"276","Taillow","Normal","Flying","40","55","30","30","30","85","3","False"
"277","Swellow","Normal","Flying","60","85","60","50","50","125","3","False"
"278","Wingull","Water","Flying","40","30","30","55","30","85","3","False"
"279","Pelipper","Water","Flying","60","50","100","85","70","65","3","False"
"280","Ralts","Psychic","Fairy","28","25","25","45","35","40","3","False"
"281","Kirlia","Psychic","Fairy","38","35","35","65","55","50","3","False"
"282","Gardevoir","Psychic","Fairy","68","65","65","125","115","80","3","False"
"282","GardevoirMega Gardevoir","Psychic","Fairy","68","85","65","165","135","100","3","False"
"283","Surskit","Bug","Water","40","30","32","50","52","65","3","False"
"284","Masquerain","Bug","Flying","70","60","62","80","82","60","3","False"
"286","Breloom","Grass","Fighting","60","130","80","60","60","","3","False"
"290","Nincada","Bug","Ground","31","45","90","30","30","40","3","False"
"291","Ninjask","Bug","Flying","61","90","45","50","50","160","3","False"
"292","Shedinja","Bug","Ghost","1","90","45","30","30","40","3","False"
"298","Azurill","Normal","Fairy","50","20","40","20","40","20","3","False"
"302","Sableye","Dark","Ghost","50","75","75","65","65","50","3","False"
"302","SableyeMega Sableye","Dark","Ghost","50","85","125","85","115","20","3","False"
"303","Mawile","Steel","Fairy","50","85","85","55","55","50","3","False"
"303","MawileMega Mawile","Steel","Fairy","50","105","125","55","95","50","3","False"
"304","Aron","Steel","Rock","50","70","100","40","40","30","3","False"
"305","Lairon","Steel","Rock","60","90","140","50","50","40","3","False"
"306","Aggron","Steel","Rock","70","110","180","60","60","50","3","False"
"307","Meditite","Fighting","Psychic","30","40","55","40","55","60","3","False"
"308","Medicham","Fighting","Psychic","60","60","75","60","75","80","3","False"
"308","MedichamMega Medicham","Fighting","Psychic","60","100","85","80","85","100","3","False"
"315","Roselia","Grass","Poison","50","60","45","100","80","","3","False"
"318","Carvanha","Water","Dark","45","90","20","65","20","65","3","False"
"319","Sharpedo","Water","Dark","70","120","40","95","40","95","3","False"
"319","SharpedoMega Sharpedo","Water","Dark","70","140","70","110","65","105","3","False"
"322","Numel","Fire","Ground","60","60","40","65","45","35","3","False"
"323","Camerupt","Fire","Ground","70","100","70","105","75","40","3","False"
"323","CameruptMega Camerupt","Fire","Ground","70","120","100","145","105","20","3","False"
"329","Vibrava","Ground","Dragon","50","70","50","50","50","70","3","False"
"330","Flygon","Ground","Dragon","80","100","80","80","80","100","3","False"
"332","Cacturne","Grass","Dark","70","115","60","115","60","55","3","False"
"333","Swablu","Normal","Flying","45","40","60","40","75","50","3","False"
"334","Altaria","Dragon","Flying","75","70","90","70","105","80","3","False"
"334","AltariaMega Altaria","Dragon","Fairy","75","110","110","110","105","","3","False"
"337","Lunatone","Rock","Psychic","70","55","65","95","85","70","3","False"
"338","Solrock","Rock","Psychic","70","95","85","55","65","70","3","False"
"339","Barboach","Water","Ground","50","48","43","46","41","60","3","False"
"340","Whiscash","Water","Ground","110","78","73","76","71","60","3","False"
"342","Crawdaunt","Water","Dark","63","120","85","90","55","55","3","False"
"343","Baltoy","Ground","Psychic","40","40","55","40","70","55","3","False"
"344","Claydol","Ground","Psychic","60","70","105","70","120","75","3","False"
"345","Lileep","Rock","Grass","66","41","77","61","87","23","3","False"
"346","Cradily","Rock","Grass","86","81","97","81","107","43","3","False"
"347","Anorith","Rock","Bug","45","95","50","40","50","75","3","False"
"348","Armaldo","Rock","Bug","75","125","100","70","80","45","3","False"
"357","Tropius","Grass","Flying","99","68","83","72","87","51","3","False"
"363","Spheal","Ice","Water","70","40","50","55","50","25","3","False"
"364","Sealeo","Ice","Water","90","60","70","75","70","45","3","False"
"365","Walrein","Ice","Water","110","80","90","95","90","65","3","False"
"369","Relicanth","Water","Rock","100","90","130","45","65","55","3","False"
"373","Salamence","Dragon","Flying","95","135","80","110","80","100","3","False"
"373","SalamenceMega Salamence","Dragon","Flying","95","145","130","120","90","120","3","False"
"374","Beldum","Steel","Psychic","40","55","80","35","60","30","3","False"
"375","Metang","Steel","Psychic","60","75","100","55","80","50","3","False"
"376","Metagross","Steel","Psychic","80","135","130","95","90","70","3","False"
"376","MetagrossMega Metagross","Steel","Psychic","80","145","150","105","110","","3","False"
"380","Latias","Dragon","Psychic","80","80","90","110","130","110","3","True"
"380","LatiasMega Latias","Dragon","Psychic","80","100","120","140","150","110","3","True"
"381","Latios","Dragon","Psychic","80","90","80","130","110","110","3","True"
"381","LatiosMega Latios","Dragon","Psychic","80","130","100","160","120","110","3","True"
"383","GroudonPrimal Groudon","Ground","Fire","100","180","160","150","90","90","3","True"
"384","Rayquaza","Dragon","Flying","105","150","90","150","90","95","3","True"
"384","RayquazaMega Rayquaza","Dragon","Flying","105","180","100","180","100","115","3","True"
"385","Jirachi","Steel","Psychic","100","100","100","100","100","100","3","True"
"389","Torterra","Grass","Ground","95","109","105","75","85","","4","False"
"391","Monferno","Fire","Fighting","64","78","52","78","52","81","4","False"
"392","Infernape","Fire","Fighting","76","104","71","104","71","108","4","False"
"395","Empoleon","Water","Steel","84","86","88","111","101","60","4","False"
"396","Starly","Normal","Flying","40","55","30","30","30","60","4","False"
"397","Staravia","Normal","Flying","55","75","50","40","40","80","4","False"
"398","Staraptor","Normal","Flying","85","120","70","50","60","100","4","False"
"400","Bibarel","Normal","Water","79","85","60","55","60","71","4","False"
"406","Budew","Grass","Poison","40","30","35","50","70","55","4","False"
"407","Roserade","Grass","Poison","60","70","65","125","105","90","4","False"
"410","Shieldon","Rock","Steel","30","42","118","42","88","30","4","False"
"411","Bastiodon","Rock","Steel","60","52","168","47","138","30","4","False"
"413","WormadamPlant Cloak","Bug","Grass","60","59","85","79","105","36","4","False"
"413","WormadamSandy Cloak","Bug","Ground","60","79","105","59","85","36","4","False"
"413","WormadamTrash Cloak","Bug","Steel","60","69","95","69","95","36","4","False"
"414","Mothim","Bug","Flying","70","94","50","94","50","66","4","False"
"415","Combee","Bug","Flying","30","30","42","30","42","70","4","False"
"416","Vespiquen","Bug","Flying","70","80","102","80","102","","4","False"
"423","Gastrodon","Water","Ground","111","83","68","92","82","39","4","False"
"425","Drifloon","Ghost","Flying","90","50","34","60","44","70","4","False"
"426","Drifblim","Ghost","Flying","150","80","44","90","54","80","4","False"
"428","LopunnyMega Lopunny","Normal","Fighting","65","136","94","54","96","135","4","False"
"430","Honchkrow","Dark","Flying","100","125","52","105","52","71","4","False"
"434","Stunky","Poison","Dark","63","63","47","41","41","74","4","False"
"435","Skuntank","Poison","Dark","103","93","67","71","61","84","4","False"
"436","Bronzor","Steel","Psychic","57","24","86","24","86","23","4","False"
"437","Bronzong","Steel","Psychic","67","89","116","79","116","33","4","False"
"439","Mime Jr.","Psychic","Fairy","20","25","45","70","90","60","4","False"
"441","Chatot","Normal","Flying","76","65","45","92","42","91","4","False"
"442","Spiritomb","Ghost","Dark","50","92","108","92","108","35","4","False"
"443","Gible","Dragon","Ground","58","70","45","40","45","42","4","False"
"444","Gabite","Dragon","Ground","68","90","65","50","55","82","4","False"
"445","Garchomp","Dragon","Ground","108","130","95","80","85","102","4","False"
"445","GarchompMega Garchomp","Dragon","Ground","108","170","115","120","95","92","4","False"
"448","Lucario","Fighting","Steel","70","110","70","115","70","90","4","False"
"448","LucarioMega Lucario","Fighting","Steel","70","145","88","140","70","112","4","False"
"451","Skorupi","Poison","Bug","40","50","90","30","55","65","4","False"
"452","Drapion","Poison","Dark","70","90","110","60","75","95","4","False"
"453","Croagunk","Poison","Fighting","48","61","40","61","40","50","4","False"
"454","Toxicroak","Poison","Fighting","83","106","65","86","65","85","4","False"
"458","Mantyke","Water","Flying","45","20","50","60","120","","4","False"
"459","Snover","Grass","Ice","60","62","50","62","60","40","4","False"
"460","Abomasnow","Grass","Ice","90","92","75","92","85","60","4","False"
"460","AbomasnowMega Abomasnow","Grass","Ice","90","132","105","132","105","30","4","False"
"461","Weavile","Dark","Ice","70","120","65","45","85","125","4","False"
"462","Magnezone","Electric","Steel","70","70","115","130","90","60","4","False"
"464","Rhyperior","Ground","Rock","115","140","130","55","55","40","4","False"
"468","Togekiss","Fairy","Flying","85","50","95","120","115","80","4","False"
"469","Yanmega","Bug","Flying","86","76","86","116","56","95","4","False"
"472","Gliscor","Ground","Flying","75","95","125","45","75","95","4","False"
"473","Mamoswine","Ice","Ground","110","130","80","70","60","80","4","False"
"475","Gallade","Psychic","Fighting","68","125","65","65","115","80","4","False"
"475","GalladeMega Gallade","Psychic","Fighting","68","165","95","65","115","110","4","False"
"476","Probopass","Rock","Steel","60","55","145","75","150","40","4","False"
"478","Froslass","Ice","Ghost","70","80","70","80","70","110","4","False"
"479","Rotom","Electric","Ghost","50","50","77","95","77","91","4","False"
"479","RotomHeat Rotom","Electric","Fire","50","65","107","105","107","86","4","False"
"479","RotomWash Rotom","Electric","Water","50","65","107","105","107","86","4","False"
"479","RotomFrost Rotom","Electric","Ice","50","65","107","105","107","86","4","False"
"479","RotomFan Rotom","Electric","Flying","50","65","107","105","107","","4","False"
"479","RotomMow Rotom","Electric","Grass","50","65","107","105","107","86","4","False"
"483","Dialga","Steel","Dragon","100","120","120","150","100","90","4","True"
"484","Palkia","Water","Dragon","90","120","100","150","120","100","4","True"
"485","Heatran","Fire","Steel","91","90","106","130","106","77","4","True"
"487","GiratinaAltered Forme","Ghost","Dragon","150","100","120","100","120","90","4","True"
"487","GiratinaOrigin Forme","Ghost","Dragon","150","120","100","120","100","90","4","True"
"492","ShayminSky Forme","Grass","Flying","100","103","75","120","75","127","4","True"
"494","Victini","Psychic","Fire","100","100","100","100","100","100","5","True"
"499","Pignite","Fire","Fighting","90","93","55","70","55","55","5","False"
"500","Emboar","Fire","Fighting","110","123","65","100","65","65","5","False"
"519","Pidove","Normal","Flying","50","55","50","36","30","43","5","False"
"520","Tranquill","Normal","Flying","62","77","62","50","42","65","5","False"
"521","Unfezant","Normal","Flying","80","115","80","65","55","93","5","False"
"527","Woobat","Psychic","Flying","55","45","43","55","43","72","5","False"
"528","Swoobat","Psychic","Flying","67","57","55","77","55","114","5","False"
"530","Excadrill","Ground","Steel","110","135","60","50","65","88","5","False"
"531","AudinoMega Audino","Normal","Fairy","103","60","126","80","126","50","5","False"
"536","Palpitoad","Water","Ground","75","65","55","65","55","69","5","False"
"537","Seismitoad","Water","Ground","105","95","75","85","75","74","5","False"
"540","Sewaddle","Bug","Grass","45","53","70","40","60","42","5","False"
"541","Swadloon","Bug","Grass","55","63","90","50","80","42","5","False"
"542","Leavanny","Bug","Grass","75","103","80","70","80","92","5","False"
"543","Venipede","Bug","Poison","30","45","59","30","39","","5","False"
"544","Whirlipede","Bug","Poison","40","55","99","40","79","47","5","False"
"545","Scolipede","Bug","Poison","60","100","89","55","69","112","5","False"
"546","Cottonee","Grass","Fairy","40","27","60","37","50","66","5","False"
"547","Whimsicott","Grass","Fairy","60","67","85","77","75","116","5","False"
"551","Sandile","Ground","Dark","50","72","35","35","35","65","5","False"
"552","Krokorok","Ground","Dark","60","82","45","45","45","74","5","False"
"553","Krookodile","Ground","Dark","95","117","80","65","70","92","5","False"
"555","DarmanitanZen Mode","Fire","Psychic","105","30","105","140","105","55","5","False"
"557","Dwebble","Bug","Rock","50","65","85","35","35","55","5","False"
"558","Crustle","Bug","Rock","70","95","125","65","75","45","5","False"
"559","Scraggy","Dark","Fighting","50","75","70","35","70","48","5","False"
"560","Scrafty","Dark","Fighting","65","90","115","45","115","58","5","False"
"561","Sigilyph","Psychic","Flying","72","58","80","103","80","97","5","False"
"564","Tirtouga","Water","Rock","54","78","103","53","45","22","5","False"
"565","Carracosta","Water","Rock","74","108","133","83","65","32","5","False"
"566","Archen","Rock","Flying","55","112","45","74","45","70","5","False"
"567","Archeops","Rock","Flying","75","140","65","112","65","","5","False"
"580","Ducklett","Water","Flying","62","44","50","44","50","55","5","False"
"581","Swanna","Water","Flying","75","87","63","87","63","98","5","False"
"585","Deerling","Normal","Grass","60","60","50","40","50","75","5","False"
"586","Sawsbuck","Normal","Grass","80","100","70","60","70","95","5","False"
"587","Emolga","Electric","Flying","55","75","60","75","60","103","5","False"
"589","Escavalier","Bug","Steel","70","135","105","60","105","20","5","False"
"590","Foongus","Grass","Poison","69","55","45","55","55","15","5","False"
"591","Amoonguss","Grass","Poison","114","85","70","85","80","30","5","False"
"592","Frillish","Water","Ghost","55","40","50","65","85","40","5","False"
"593","Jellicent","Water","Ghost","100","60","70","85","105","60","5","False"
"595","Joltik","Bug","Electric","50","47","50","57","50","65","5","False"
"596","Galvantula","Bug","Electric","70","77","60","97","60","108","5","False"
"597","Ferroseed","Grass","Steel","44","50","91","24","86","10","5","False"
"598","Ferrothorn","Grass","Steel","74","94","131","54","116","20","5","False"
"607","Litwick","Ghost","Fire","50","30","55","65","55","20","5","False"
"608","Lampent","Ghost","Fire","60","40","60","95","60","55","5","False"
"609","Chandelure","Ghost","Fire","60","55","90","145","90","80","5","False"
"618","Stunfisk","Ground","Electric","109","66","84","81","99","32","5","False"
"622","Golett","Ground","Ghost","59","74","50","35","50","35","5","False"
"623","Golurk","Ground","Ghost","89","124","80","55","80","55","5","False"
"624","Pawniard","Dark","Steel","45","85","70","40","40","60","5","False"
"625","Bisharp","Dark","Steel","65","125","100","60","70","70","5","False"
"627","Rufflet","Normal","Flying","70","83","50","37","50","60","5","False"
"628","Braviary","Normal","Flying","100","123","75","57","75","80","5","False"
"629","Vullaby","Dark","Flying","70","55","75","45","65","","5","False"
"630","Mandibuzz","Dark","Flying","110","65","105","55","95","80","5","False"
"632","Durant","Bug","Steel","58","109","112","48","48","109","5","False"
"633","Deino","Dark","Dragon","52","65","50","45","50","38","5","False"
"634","Zweilous","Dark","Dragon","72","85","70","65","70","58","5","False"
"635","Hydreigon","Dark","Dragon","92","105","90","125","90","98","5","False"
"636","Larvesta","Bug","Fire","55","85","55","50","55","60","5","False"
"637","Volcarona","Bug","Fire","85","60","65","135","105","100","5","False"
"638","Cobalion","Steel","Fighting","91","90","129","90","72","108","5","True"
"639","Terrakion","Rock","Fighting","91","129","90","72","90","108","5","True"
"640","Virizion","Grass","Fighting","91","90","72","90","129","108","5","True"
"642","ThundurusIncarnate Forme","Electric","Flying","79","115","70","125","80","111","5","True"
"642","ThundurusTherian Forme","Electric","Flying","79","105","70","145","80","101","5","True"
"643","Reshiram","Dragon","Fire","100","120","100","150","120","","5","True"
"644","Zekrom","Dragon","Electric","100","150","120","120","100","90","5","True"
"645","LandorusIncarnate Forme","Ground","Flying","89","125","90","115","80","101","5","True"
"645","LandorusTherian Forme","Ground","Flying","89","145","90","105","80","91","5","True"
"646","Kyurem","Dragon","Ice","125","130","90","130","90","95","5","True"
"646","KyuremBlack Kyurem","Dragon","Ice","125","170","100","120","90","95","5","True"
"646","KyuremWhite Kyurem","Dragon","Ice","125","120","90","170","100","95","5","True"
"647","KeldeoOrdinary Forme","Water","Fighting","91","72","90","129","90","108","5","False"
"647","KeldeoResolute Forme","Water","Fighting","91","72","90","129","90","108","5","False"
"648","MeloettaAria Forme","Normal","Psychic","100","77","77","128","128","90","5","False"
"648","MeloettaPirouette Forme","Normal","Fighting","100","128","90","77","77","128","5","False"
"649","Genesect","Bug","Steel","71","120","95","120","95","99","5","False"
"652","Chesnaught","Grass","Fighting","88","107","122","74","75","64","6","False"
"655","Delphox","Fire","Psychic","75","69","72","114","100","104","6","False"
"658","Greninja","Water","Dark","72","95","67","103","71","122","6","False"
"660","Diggersby","Normal","Ground","85","56","77","50","77","78","6","False"
"661","Fletchling","Normal","Flying","45","50","43","40","38","62","6","False"
"662","Fletchinder","Fire","Flying","62","73","55","56","52","84","6","False"
"663","Talonflame","Fire","Flying","78","81","71","74","69","126","6","False"
"666","Vivillon","Bug","Flying","80","52","50","90","50","89","6","False"
"667","Litleo","Fire","Normal","62","50","58","73","54","72","6","False"
"668","Pyroar","Fire","Normal","86","68","72","109","66","106","6","False"
"675","Pangoro","Fighting","Dark","95","124","78","69","71","58","6","False"
"679","Honedge","Steel","Ghost","45","80","100","35","37","","6","False"
"680","Doublade","Steel","Ghost","59","110","150","45","49","35","6","False"
"681","AegislashBlade Forme","Steel","Ghost","60","150","50","150","50","60","6","False"
"681","AegislashShield Forme","Steel","Ghost","60","50","150","50","150","60","6","False"
"686","Inkay","Dark","Psychic","53","54","53","37","46","45","6","False"
"687","Malamar","Dark","Psychic","86","92","88","68","75","73","6","False"
"688","Binacle","Rock","Water","42","52","67","39","56","50","6","False"
"689","Barbaracle","Rock","Water","72","105","115","54","86","68","6","False"
"690","Skrelp","Poison","Water","50","60","60","60","60","30","6","False"
"691","Dragalge","Poison","Dragon","65","75","90","97","123","44","6","False"
"694","Helioptile","Electric","Normal","44","38","33","61","43","70","6","False"
"695","Heliolisk","Electric","Normal","62","55","52","109","94","109","6","False"
"696","Tyrunt","Rock","Dragon","58","89","77","45","45","48","6","False"
"697","Tyrantrum","Rock","Dragon","82","121","119","69","59","71","6","False"
"698","Amaura","Rock","Ice","77","59","50","67","63","46","6","False"
"699","Aurorus","Rock","Ice","123","77","72","99","92","58","6","False"
"701","Hawlucha","Fighting","Flying","78","92","75","74","63","118","6","False"
"702","Dedenne","Electric","Fairy","67","58","57","81","67","101","6","False"
"703","Carbink","Rock","Fairy","50","50","150","50","150","50","6","False"
"707","Klefki","Steel","Fairy","57","80","91","80","87","75","6","False"
"708","Phantump","Ghost","Grass","43","70","48","50","60","38","6","False"
"709","Trevenant","Ghost","Grass","85","110","76","65","82","56","6","False"
